"","long","lat","group","order","region","subregion"
"401",-122.750480651855,47.1773452758789,60,14623,"washington","main"
"402",-122.76766204834,47.2289123535156,60,14624,"washington","main"
"403",-122.761940002441,47.2804794311523,60,14625,"washington","main"
"404",-122.750480651855,47.3205871582031,60,14626,"washington","main"
"405",-122.750480651855,47.3377723693848,60,14627,"washington","main"
"406",-122.756202697754,47.3721504211426,60,14628,"washington","main"
"407",-122.77912902832,47.3778800964355,60,14629,"washington","main"
"408",-122.790588378906,47.343505859375,60,14630,"washington","main"
"409",-122.802047729492,47.3091239929199,60,14631,"washington","main"
"410",-122.819229125977,47.3091239929199,60,14632,"washington","main"
"411",-122.882263183594,47.2804794311523,60,14633,"washington","main"
"412",-122.899444580078,47.2289123535156,60,14634,"washington","main"
"413",-122.910903930664,47.2117233276367,60,14635,"washington","main"
"414",-122.996841430664,47.2059936523438,60,14636,"washington","main"
"415",-122.97966003418,47.2346420288086,60,14637,"washington","main"
"416",-123.01976776123,47.2346420288086,60,14638,"washington","main"
"417",-123.042686462402,47.1830749511719,60,14639,"washington","main"
"418",-122.939552307129,47.1830749511719,60,14640,"washington","main"
"419",-122.956741333008,47.165885925293,60,14641,"washington","main"
"420",-123.008308410645,47.1315078735352,60,14642,"washington","main"
"421",-123.008308410645,47.0971336364746,60,14643,"washington","main"
"422",-122.962478637695,47.1315078735352,60,14644,"washington","main"
"423",-122.922370910645,47.154426574707,60,14645,"washington","main"
"424",-122.887985229492,47.1486968994141,60,14646,"washington","main"
"425",-122.928092956543,47.1085891723633,60,14647,"washington","main"
"426",-122.956741333008,47.0742149353027,60,14648,"washington","main"
"427",-122.922370910645,47.0742149353027,60,14649,"washington","main"
"428",-122.899444580078,47.0971336364746,60,14650,"washington","main"
"429",-122.887985229492,47.0971336364746,60,14651,"washington","main"
"430",-122.876525878906,47.028377532959,60,14652,"washington","main"
"431",-122.842155456543,47.028377532959,60,14653,"washington","main"
"432",-122.847877502441,47.0971336364746,60,14654,"washington","main"
"433",-122.847877502441,47.1257781982422,60,14655,"washington","main"
"434",-122.807769775391,47.1257781982422,60,14656,"washington","main"
"435",-122.77912902832,47.1028594970703,60,14657,"washington","main"
"436",-122.77912902832,47.1486968994141,60,14658,"washington","main"
"437",-122.744743347168,47.1429672241211,60,14659,"washington","main"
"438",-122.727554321289,47.1200485229492,60,14660,"washington","main"
